outcome,event_time,grupo,media,n,base,norm
mdi,-5,"control (>5 km, misma region)",96.6282196969726,8448,98.2550887978139,-1.62686910084136
mdi,-5,tratadas (<2 km),83.1666666666667,438,82.9473572938689,0.219309372797738
mdi,-6,tratadas (<2 km),83.1409722222222,432,82.9473572938689,0.193614928353284
mdi,-6,"control (>5 km, misma region)",96.3642564473383,8298,98.2550887978139,-1.89083235047561
mdi,-7,tratadas (<2 km),83.7547263681591,402,82.9473572938689,0.807369074290193
mdi,-7,"control (>5 km, misma region)",96.4644926642847,8111,98.2550887978139,-1.79059613352922
mdi,-8,"control (>5 km, misma region)",95.9120674686871,8063,98.2550887978139,-2.34302132912677
mdi,-9,tratadas (<2 km),83.0197499999999,400,82.9473572938689,0.0723927061309837
mdi,-8,tratadas (<2 km),83.3355,400,82.9473572938689,0.388142706131092
mdi,-9,"control (>5 km, misma region)",95.6030212607249,8043,98.2550887978139,-2.65206753708904
mdi,-10,tratadas (<2 km),83.5672634271099,391,82.9473572938689,0.619906133240988
mdi,-10,"control (>5 km, misma region)",95.4269547839134,8006,98.2550887978139,-2.82813401390055
mdi,-12,tratadas (<2 km),82.5525773195874,388,82.9473572938689,-0.394779974281477
mdi,-11,tratadas (<2 km),83.1734536082474,388,82.9473572938689,0.226096314378452
mdi,-12,"control (>5 km, misma region)",94.8800706802971,7923,98.2550887978139,-3.37501811751679
mdi,-11,"control (>5 km, misma region)",95.1951671924312,7925,98.2550887978139,-3.05992160538274
