tau,est,se,p,n_obs,n_trat,radio,tipo,outcome,ci_low,ci_high,radio_f
0.5,-1.45919342788757,1.54358546744341,0.345273392736152,158918,385,1,margen,mdi,-4.48462094407665,1.56623408830152,Entrada a [0; 1] km
0.55,-0.179036863409587,1.49989699871644,0.905067393645357,158918,385,1,margen,mdi,-3.11883498089381,2.76076125407463,Entrada a [0; 1] km
0.6,0.316034037143997,1.15643160982943,0.784828245636319,158918,385,1,margen,mdi,-1.95057191812169,2.58263999240969,Entrada a [0; 1] km
0.65,1.1264442393829,1.34385435112637,0.402593328640876,158918,385,1,margen,mdi,-1.50751028882478,3.76039876759059,Entrada a [0; 1] km
0.7,1.46519134843034,1.56790881109923,0.350824553478255,158918,385,1,margen,mdi,-1.60790992132414,4.53829261818483,Entrada a [0; 1] km
0.75,2.36508212396036,1.60055082256277,0.140574530638733,158918,385,1,margen,mdi,-0.771997488262674,5.50216173618338,Entrada a [0; 1] km
0.8,1.32236966170559,1.31188497099635,0.314292807619623,158918,385,1,margen,mdi,-1.24892488144725,3.89366420485843,Entrada a [0; 1] km
0.85,0.756846630785985,1.09147231666925,0.488598419440031,158918,385,1,margen,mdi,-1.38243910988575,2.89613237145772,Entrada a [0; 1] km
0.9,0.738563654299584,1.90796997233588,0.698968618335279,158918,385,1,margen,mdi,-3.00105749147875,4.47818480007792,Entrada a [0; 1] km
0.1,-3.41518944763787,1.66208981524248,0.0408045387551296,138208,668,2,precio,p93,-6.67288548551312,-0.157493409762615,Entrada a [0; 2] km
0.15,-4.20466505085665,1.70315262812159,0.0141389604115346,138208,668,2,precio,p93,-7.54284420197496,-0.86648589973834,Entrada a [0; 2] km
0.2,-4.60416927041688,1.63558740073549,0.00521420129839128,138208,668,2,precio,p93,-7.80992057585844,-1.39841796497532,Entrada a [0; 2] km
0.25,-4.79151229727383,1.52442565526599,0.00184571669626062,138208,668,2,precio,p93,-7.77938658159518,-1.80363801295248,Entrada a [0; 2] km
0.3,-4.47219057148467,1.51180239477373,0.00335126085931283,138208,668,2,precio,p93,-7.43532326524118,-1.50905787772816,Entrada a [0; 2] km
0.35,-3.55698205629433,1.33940437580922,0.00835655712575991,138208,668,2,precio,p93,-6.1822146328804,-0.931749479708252,Entrada a [0; 2] km
0.4,-2.60262012601771,1.07745682320266,0.0163352524943099,138208,668,2,precio,p93,-4.71443549949493,-0.4908047525405,Entrada a [0; 2] km
0.45,-1.8733647020823,0.920279123396851,0.0427008214230942,138208,668,2,precio,p93,-3.67711178394013,-0.06961762022447,Entrada a [0; 2] km
0.5,-1.7068453817228,0.769465553004121,0.0273196378272085,138208,668,2,precio,p93,-3.21499786561087,-0.198692897834722,Entrada a [0; 2] km
0.55,-1.99888210767115,0.69612672847998,0.00438944882151582,138208,668,2,precio,p93,-3.36329049549191,-0.634473719850393,Entrada a [0; 2] km
0.6,-1.51352579059015,0.593524536832219,0.0112882388954045,138208,668,2,precio,p93,-2.6768338827813,-0.350217698398999,Entrada a [0; 2] km
0.65,-0.898450262738352,0.574846160635582,0.119164751884915,138208,668,2,precio,p93,-2.02514873758409,0.228248212107389,Entrada a [0; 2] km
0.7,-0.378254451687417,0.669743397008888,0.572666315444002,138208,668,2,precio,p93,-1.69095150982484,0.934442606450003,Entrada a [0; 2] km
0.75,-0.362794075195708,0.744114556985235,0.626238561981139,138208,668,2,precio,p93,-1.82125860688677,1.09567045649535,Entrada a [0; 2] km
0.8,-0.73063211926187,0.870413932208002,0.401936815691307,138208,668,2,precio,p93,-2.43664342638955,0.975379187865814,Entrada a [0; 2] km
0.85,-0.833949464444984,0.67712837804186,0.219104243567611,138208,668,2,precio,p93,-2.16112108540703,0.493222156517062,Entrada a [0; 2] km
0.9,-0.982233564533907,0.697866667610577,0.160363382441447,138208,668,2,precio,p93,-2.35005223305064,0.385585103982824,Entrada a [0; 2] km
0.1,-3.92042341262,1.32308129454326,0.00329709849005065,139913,674,2,precio,pdi,-6.51366274992479,-1.32718407531521,Entrada a [0; 2] km
0.15,-3.74275703142494,1.22106582668121,0.0023796856344508,139913,674,2,precio,pdi,-6.13604605172011,-1.34946801112977,Entrada a [0; 2] km
0.2,-5.50998811238427,1.42339500296699,0.000133852912948593,139913,674,2,precio,pdi,-8.29984231819956,-2.72013390656897,Entrada a [0; 2] km
0.25,-5.68412417381173,1.43206023120978,9.09141395799971e-05,139913,674,2,precio,pdi,-8.4909622269829,-2.87728612064055,Entrada a [0; 2] km
0.3,-4.67798441582813,1.32629759999139,0.000487986633300954,139913,674,2,precio,pdi,-7.27752771181125,-2.078441119845,Entrada a [0; 2] km
0.35,-4.05782130467347,1.15778084921283,0.000528864847909089,139913,674,2,precio,pdi,-6.32707176913061,-1.78857084021632,Entrada a [0; 2] km
0.4,-3.70065983116477,0.833250580107062,1.27188986362225e-05,139913,674,2,precio,pdi,-5.33383096817461,-2.06748869415493,Entrada a [0; 2] km
0.45,-3.19025479238048,0.837609512264622,0.000170378474439893,139913,674,2,precio,pdi,-4.83196943641914,-1.54854014834182,Entrada a [0; 2] km
0.5,-2.18838036534806,0.781953321035379,0.00547511922442485,139913,674,2,precio,pdi,-3.72100887457741,-0.65575185611872,Entrada a [0; 2] km
0.55,-1.00093227956352,0.693865490266679,0.150224106215248,139913,674,2,precio,pdi,-2.36090864048621,0.359044081359175,Entrada a [0; 2] km
0.6,-0.520101884514823,0.583415130331955,0.373409181700081,139913,674,2,precio,pdi,-1.66359553996545,0.623391770935808,Entrada a [0; 2] km
0.65,-0.586383734246,0.544021957561734,0.281985451391228,139913,674,2,precio,pdi,-1.652666771067,0.479899302574998,Entrada a [0; 2] km
0.7,-0.211832475114928,0.597206809640439,0.723067229628701,139913,674,2,precio,pdi,-1.38235782201019,0.958692871780333,Entrada a [0; 2] km
0.75,-0.0834636490401082,0.707231706137066,0.906137526807771,139913,674,2,precio,pdi,-1.46963779306876,1.30271049498854,Entrada a [0; 2] km
0.8,-0.51412213083684,0.809765117731809,0.525990687537902,139913,674,2,precio,pdi,-2.10126176159119,1.07301749991751,Entrada a [0; 2] km
0.85,-0.134455125028134,0.72160082978184,0.852316631123763,139913,674,2,precio,pdi,-1.54879275140054,1.27988250134427,Entrada a [0; 2] km
0.9,-2.29722031173506,0.998410002999169,0.0221054039090385,139913,674,2,precio,pdi,-4.25410391761343,-0.340336705856684,Entrada a [0; 2] km
0.1,-6.05474220135872,1.62549514037789,0.000235262181893085,114381,662,2,margen,m93,-9.24071267649939,-2.86877172621805,Entrada a [0; 2] km
0.15,-4.69948690953761,1.43278933727719,0.00116625349373187,114381,662,2,margen,m93,-7.50775401060091,-1.89121980847431,Entrada a [0; 2] km
0.2,-4.98555617633318,1.38690293178739,0.000382095497264353,114381,662,2,margen,m93,-7.70388592263645,-2.2672264300299,Entrada a [0; 2] km
0.25,-4.55520328035323,1.62366493903312,0.00536712275933983,114381,662,2,margen,m93,-7.73758656085815,-1.37281999984831,Entrada a [0; 2] km
0.3,-3.17619911521174,1.49461614744262,0.0344330485541703,114381,662,2,margen,m93,-6.10564676419927,-0.246751466224211,Entrada a [0; 2] km
0.35,-2.89165628188853,1.52114457376444,0.0583070532640564,114381,662,2,margen,m93,-5.87309964646683,0.0897870826897629,Entrada a [0; 2] km
0.4,-2.71624394259035,1.23931706314607,0.0292026647502298,114381,662,2,margen,m93,-5.14530538635665,-0.28718249882406,Entrada a [0; 2] km
0.45,-2.35002571608014,1.11668276625919,0.0362069436506929,114381,662,2,margen,m93,-4.53872393794815,-0.161327494212131,Entrada a [0; 2] km
0.5,-1.72513285670486,1.12895610655914,0.127594540218653,114381,662,2,margen,m93,-3.93788682556078,0.487621112151055,Entrada a [0; 2] km
0.55,-0.309433595991042,1.18391816672159,0.793999270684933,114381,662,2,margen,m93,-2.62991320276536,2.01104601078327,Entrada a [0; 2] km
0.6,-0.0680398447351212,1.20920335637819,0.955167205898407,114381,662,2,margen,m93,-2.43807842323637,2.30199873376613,Entrada a [0; 2] km
0.65,0.555671770120124,1.32064618204723,0.674247066414596,114381,662,2,margen,m93,-2.03279474669245,3.1441382869327,Entrada a [0; 2] km
0.7,-0.192488805311351,1.19002604255839,0.871615155841775,114381,662,2,margen,m93,-2.5249398487258,2.13996223810309,Entrada a [0; 2] km
0.75,-1.03544031573929,0.993166441084916,0.298027322996198,114381,662,2,margen,m93,-2.98204654026572,0.911165908787146,Entrada a [0; 2] km
0.8,-1.50426469668434,1.10353097108525,0.173907551389064,114381,662,2,margen,m93,-3.66718540001142,0.658656006642745,Entrada a [0; 2] km
0.85,-0.645980596440719,1.33730922952859,0.629432023871115,114381,662,2,margen,m93,-3.26710668631675,1.97514549343531,Entrada a [0; 2] km
0.9,-1.11662475117917,1.19255448003498,0.349890419013045,114381,662,2,margen,m93,-3.45403153204773,1.22078202968938,Entrada a [0; 2] km
0.1,-9.52902272390727,2.10904392364664,9.09041507451212e-06,115495,668,2,margen,mdi,-13.6627488142547,-5.39529663355986,Entrada a [0; 2] km
0.15,-8.51114548459258,2.05568436697045,4.55228073688266e-05,115495,668,2,margen,mdi,-12.5402868438547,-4.48200412533049,Entrada a [0; 2] km
0.2,-5.75037387447469,1.64244129018412,0.000536245745551321,115495,668,2,margen,mdi,-8.96955880323557,-2.53118894571381,Entrada a [0; 2] km
0.25,-4.41698658919333,1.03008972219751,2.45806642985839e-05,115495,668,2,margen,mdi,-6.43596244470044,-2.39801073368622,Entrada a [0; 2] km
0.3,-3.38418406509607,1.04090490660003,0.00128472081989693,115495,668,2,margen,mdi,-5.42435768203213,-1.34401044816001,Entrada a [0; 2] km
0.35,-1.92706791667368,0.971220452931422,0.0481792045567553,115495,668,2,margen,mdi,-3.83066000441927,-0.0234758289280947,Entrada a [0; 2] km
0.4,-2.16570257114094,0.970330078450627,0.0263838513142473,115495,668,2,margen,mdi,-4.06754952490417,-0.263855617377709,Entrada a [0; 2] km
