tipo,outcome,control,event_time,estimate,se,ci_low,ci_high
precio,pdi,anillo,6,-0.0759241818158173,0.0994064455660392,-0.270760815125254,0.11891245149362
precio,pdi,anillo,7,-0.0669831181367651,0.106918045387752,-0.276542487096759,0.142576250823229
precio,pdi,anillo,8,-0.0357668877479891,0.106361968699533,-0.244236346399074,0.172702570903096
precio,pdi,anillo,9,0.0467456924357191,0.0930601529784765,-0.135652207402095,0.229143592273533
precio,pdi,anillo,10,0.130257877660369,0.108468615644302,-0.082340609002462,0.3428563643232
precio,pdi,anillo,11,0.177077929247552,0.181399885273858,-0.17846584588921,0.532621704384313
precio,pdi,anillo,12,0.188582175487411,0.12038398717745,-0.0473704393803897,0.424534790355213
precio,pdi,lejano,-12,0.242939209364726,0.0975208158437383,0.0517984103109992,0.434080008418453
precio,pdi,lejano,-11,0.153664875490281,0.0944289367439564,-0.031415840527873,0.338745591508436
precio,pdi,lejano,-10,0.249160749360847,0.0886583034372174,0.0753904746239009,0.422931024097793
precio,pdi,lejano,-9,0.221013410246531,0.086622625702382,0.0512330638698625,0.3907937566232
precio,pdi,lejano,-8,0.198004687038099,0.0796582605610496,0.0418744963384422,0.354134877737757
precio,pdi,lejano,-7,0.225519946554512,0.0832259963030312,0.0623969938005705,0.388642899308453
precio,pdi,lejano,-6,0.211923922887062,0.0802042392942651,0.0547236138703022,0.369124231903821
precio,pdi,lejano,-5,0.191088416528345,0.0856449556872457,0.0232243033813439,0.358952529675347
precio,pdi,lejano,-4,0.149059333226814,0.0703078288188255,0.0112559887419164,0.286862677711712
precio,pdi,lejano,-3,0.0913003448829305,0.0593231140435069,-0.0249729586423431,0.207573648408204
precio,pdi,lejano,-2,0.0136959525184704,0.0604544896173671,-0.104794847131569,0.13218675216851
precio,pdi,lejano,-1,0,0,0,0
precio,pdi,lejano,0,-0.0669933268776588,0.0620160021679781,-0.188544691126896,0.0545580373715784
precio,pdi,lejano,1,-0.22702215210119,0.103762608308649,-0.430396864386143,-0.0236474398162372
precio,pdi,lejano,2,-0.374536360742816,0.122219079865286,-0.614085757278777,-0.134986964206855
precio,pdi,lejano,3,-0.307519476724867,0.115011781187479,-0.532942567852327,-0.082096385597408
precio,pdi,lejano,4,-0.348436089548421,0.129378533720946,-0.602018015641476,-0.0948541634553656
precio,pdi,lejano,5,-0.500266604642899,0.12945940754317,-0.754007043427513,-0.246526165858285
precio,pdi,lejano,6,-0.428790337346717,0.130513136311836,-0.684596084517915,-0.172984590175519
precio,pdi,lejano,7,-0.314846774079156,0.12849374831353,-0.566694520773676,-0.0629990273846366
precio,pdi,lejano,8,-0.335287932162855,0.111075368439401,-0.552995654304081,-0.117580210021628
precio,pdi,lejano,9,-0.279569473262312,0.111400745900169,-0.497914935226643,-0.0612240112979807
precio,pdi,lejano,10,-0.264439452332553,0.118738065159772,-0.497166060045705,-0.0317128446194009
precio,pdi,lejano,11,-0.351059060157162,0.126247819029831,-0.59850478545563,-0.103613334858693
precio,pdi,lejano,12,-0.367668198149619,0.126547651097245,-0.615701594300219,-0.119634801999019
margen,m93,anillo,-12,0.885279546119743,0.599114429759047,-0.288984736207989,2.05954382844748
margen,m93,anillo,-11,0.404997911836994,0.68878516658284,-0.945021014665371,1.75501683833936
margen,m93,anillo,-10,0.0559792465261838,0.590123827850955,-1.10066345606169,1.21262194911405
margen,m93,anillo,-9,0.0449737910929397,0.632739554836453,-1.19519573638651,1.28514331857239
margen,m93,anillo,-8,0.0441061312190909,0.709092659202938,-1.34571548081867,1.43392774325685
margen,m93,anillo,-7,0.761974264919562,0.691516834871866,-0.593398731429295,2.11734726126842
margen,m93,anillo,-6,0.0176572927846248,0.544258644067144,-1.04908964958698,1.08440423515623
