horizon,group,estimate,se,dimension,ci_low,ci_high
6,di,0.65057986838501,0.00551625014129067,combustible,0.639768018108081,0.66139171866194
7,di,0.654158653725207,0.00538441099298865,combustible,0.643605208178949,0.664712099271465
8,di,0.657247881766526,0.00529084675506954,combustible,0.646877822126589,0.667617941406462
9,di,0.650371296632848,0.00544876351055749,combustible,0.639691720152156,0.661050873113541
10,di,0.655960265193563,0.00535303264756789,combustible,0.64546832120433,0.666452209182796
11,di,0.65928376879798,0.00530040977788253,combustible,0.64889496563333,0.66967257196263
12,di,0.63512223191665,0.00594883289641805,combustible,0.623462519439671,0.64678194439363
13,di,0.640150494394994,0.00578189338591393,combustible,0.628817983358602,0.651483005431385
14,di,0.644279751885234,0.00571908035711636,combustible,0.633070354385286,0.655489149385182
15,di,0.667687601267681,0.00491213022441915,combustible,0.65805982602782,0.677315376507543
16,di,0.681816931394394,0.00501396365125893,combustible,0.671989562637926,0.691644300150862
17,di,0.686534015406707,0.00456330083887634,combustible,0.677589945762509,0.695478085050904
18,di,0.680833760819718,0.00509416883548072,combustible,0.670849189902176,0.69081833173726
19,di,0.687890271740881,0.00484831530283889,combustible,0.678387573747317,0.697392969734445
20,di,0.668811059412484,0.00563793780345289,combustible,0.657760701317717,0.679861417507252
21,di,0.688429255315459,0.00525326448678939,combustible,0.678132856921352,0.698725653709566
22,di,0.67654785595812,0.00541815947960212,combustible,0.6659282633781,0.68716744853814
23,di,0.685958940058704,0.00520719955386746,combustible,0.675752828933124,0.696165051184284
24,di,0.667949184509304,0.00551324671211603,combustible,0.657143220953557,0.678755148065052
25,di,0.679248169888516,0.00512622639497699,combustible,0.669200766154361,0.689295573622671
26,di,0.685435783540934,0.00499732444691494,combustible,0.675641027624981,0.695230539456887
0,aramco_petrobras,0.552516252775253,0.0124042076444311,marca,0.528204005792168,0.576828499758338
1,aramco_petrobras,0.626370218243666,0.0116025305450406,marca,0.603629258375386,0.649111178111945
2,aramco_petrobras,0.647409644814267,0.0106943752470704,marca,0.626448669330009,0.668370620298525
3,aramco_petrobras,0.66423583831636,0.0101052465938047,marca,0.644429554992503,0.684042121640217
4,aramco_petrobras,0.674985852732871,0.00941721869813221,marca,0.656528104084532,0.69344360138121
5,aramco_petrobras,0.678929910114321,0.00941265626018592,marca,0.660481103844357,0.697378716384285
6,aramco_petrobras,0.68332711723842,0.00928844075043644,marca,0.665121773367565,0.701532461109276
7,aramco_petrobras,0.683121386277406,0.00911934095577085,marca,0.665247478004095,0.700995294550717
8,aramco_petrobras,0.68380072038811,0.00895873151540928,marca,0.666241606617907,0.701359834158312
9,aramco_petrobras,0.686045076028423,0.00903952758136696,marca,0.668327601968944,0.703762550087902
10,aramco_petrobras,0.689359545658639,0.00884824683993749,marca,0.672016981852362,0.706702109464917
11,aramco_petrobras,0.689418367847501,0.00879356153284874,marca,0.672182987243118,0.706653748451885
12,aramco_petrobras,0.683727694626083,0.0101914336450139,marca,0.663752484681856,0.70370290457031
13,aramco_petrobras,0.686776415208751,0.0100347105724437,marca,0.667108382486762,0.706444447930741
14,aramco_petrobras,0.686612139762169,0.00987242712946941,marca,0.667262182588409,0.705962096935929
