outcome,estimador,prob,qtt,se,li_pw,ls_pw,li,ls
pdi,Callaway-Li,0.5,-0.416864527181019,0.260153470399781,-0.926755959617696,0.0930269052556574,-3.44224846628795,2.60851941192591
pdi,Callaway-Li,0.55,-0.122773201877067,0.354670465268589,-0.817914540183565,0.572368136429432,-4.24731679397392,4.00177039021979
pdi,Callaway-Li,0.6,-0.618458452037316,0.526064302647171,-1.64952553877795,0.412608634703317,-6.73618000201508,5.49926309794045
pdi,Callaway-Li,0.65,-1.30216339965705,0.556411782239657,-2.39271045342052,-0.211616345893577,-7.77280269933998,5.16847590002589
pdi,Callaway-Li,0.7,-0.607881635508761,2.34744091805228,-5.20878129072687,3.99301801970935,-27.9068065376607,26.6910432666431
pdi,Callaway-Li,0.75,-2.12273282942124,3.74543430394853,-9.46364917162119,5.21818351277872,-45.6792411117554,41.433775452913
pdi,Callaway-Li,0.8,-0.448233747650875,3.29123732200677,-6.89894036335819,6.00247286805644,-38.7227819152658,37.826314419964
pdi,Callaway-Li,0.85,-0.675356743591237,0.444459045916667,-1.54648046619094,0.195766979008465,-5.84407218313823,4.49335869595575
pdi,Callaway-Li,0.9,-0.557096874209947,0.301917779802468,-1.14884484891508,0.0346511004951847,-4.06816747627246,2.95397372785257
pdi,Change-in-Changes,0.1,-0.973872517307655,0.649941416232706,-2.24773428518471,0.299989250569404,-4.5764651583534,2.62872012373809
pdi,Change-in-Changes,0.15,1.16524965442954,0.679260110661598,-0.166075698601878,2.49657500746097,-2.59985503794357,4.93035434680266
pdi,Change-in-Changes,0.2,-0.282064083315277,0.380801654503642,-1.02842161139568,0.464293444765126,-2.3928285367713,1.82870037014075
pdi,Change-in-Changes,0.25,0.528833571297241,0.380838752570622,-0.217596667658338,1.27526381025282,-1.58213651488162,2.6398036574761
pdi,Change-in-Changes,0.3,-0.02522508717243,0.558911118583686,-1.12067075015545,1.07022057581059,-3.12324135836095,3.07279118401609
pdi,Change-in-Changes,0.35,-0.5249974377125,0.548095220854141,-1.59924433068514,0.549249455260143,-3.56306173077872,2.51306685535372
pdi,Change-in-Changes,0.4,0,0.50873489110588,-0.997102064246432,0.997102064246432,-2.8198919612857,2.8198919612857
pdi,Change-in-Changes,0.45,-0.823348806283889,0.53000843448308,-1.86214624937318,0.215448636805404,-3.76115895050968,2.1144613379419
pdi,Change-in-Changes,0.5,-0.313215216614594,0.460831182771732,-1.21642773780018,0.589997304570994,-2.86757932752306,2.24114889429387
pdi,Change-in-Changes,0.55,-0.143065676979518,0.30858240187273,-0.747876070912935,0.461744716953899,-1.85352243873924,1.5673910847802
pdi,Change-in-Changes,0.6,0.0473678488616542,0.213831499141775,-0.371734188216432,0.46646988593974,-1.13788941585791,1.23262511358122
pdi,Change-in-Changes,0.65,0.247313404685087,0.312712746395536,-0.36559231575677,0.860219125126945,-1.48603764940807,1.98066445877825
pdi,Change-in-Changes,0.7,-0.177652180381983,0.535567919356248,-1.22734601359528,0.872041652831314,-3.14627827015587,2.7909739093919
pdi,Change-in-Changes,0.75,-0.614334741392895,1.42224710622422,-3.40188784670868,2.17321836392289,-8.49777904985262,7.26910956706683
pdi,Change-in-Changes,0.8,-0.500724745613638,1.29827702328294,-3.04530095320408,2.0438514619768,-7.69700910802345,6.69555961679617
pdi,Change-in-Changes,0.85,-0.223051493190042,0.373536879360821,-0.955170323634733,0.50906733725465,-2.2935476627443,1.84744467636421
pdi,Change-in-Changes,0.9,-0.295919004870825,0.393688333288476,-1.06753395924984,0.475695949508189,-2.47811367187881,1.88627566213716
