horizon,sentido,het,estimate,se,n,dimension,ci_low,ci_high
7,sube,aramco_petrobras,0.758443948060851,0.00584284836993602,255388,marca,0.746991965255776,0.769895930865925
8,sube,aramco_petrobras,0.770003150020892,0.0052977616095927,255388,marca,0.75961953726609,0.780386762775693
9,sube,aramco_petrobras,0.778188419525483,0.00456099640055619,255388,marca,0.769248866580393,0.787127972470573
10,sube,aramco_petrobras,0.787018650921646,0.00404613247357141,255388,marca,0.779088231273446,0.794949070569846
11,sube,aramco_petrobras,0.789607235965053,0.00377293976138481,255388,marca,0.782212274032739,0.797002197897367
12,sube,aramco_petrobras,0.804663305358597,0.00319034688903961,255388,marca,0.798410225456079,0.810916385261115
0,baja,aramco_petrobras,0.672334621568224,0.0103633263896267,202868,marca,0.652022501844556,0.692646741291892
1,baja,aramco_petrobras,0.746048106660562,0.00717620539677079,202868,marca,0.731982744082891,0.760113469238233
2,baja,aramco_petrobras,0.75306552689614,0.00523860297152053,202868,marca,0.74279786507196,0.76333318872032
3,baja,aramco_petrobras,0.746988161584267,0.00448263619933843,202868,marca,0.738202194633564,0.75577412853497
4,baja,aramco_petrobras,0.762612300260507,0.00434188810588352,202868,marca,0.754102199572975,0.771122400948038
5,baja,aramco_petrobras,0.770122196430527,0.00415087030159945,202868,marca,0.761986490639392,0.778257902221662
6,baja,aramco_petrobras,0.762155087241773,0.00537712911945298,202868,marca,0.751615914167645,0.772694260315901
7,baja,aramco_petrobras,0.785116233339548,0.00445710578015482,202868,marca,0.776380306010444,0.793852160668651
8,baja,aramco_petrobras,0.792922433337848,0.00390780182147161,202868,marca,0.785263141767763,0.800581724907932
9,baja,aramco_petrobras,0.770345777525033,0.00449099607313275,202868,marca,0.761543425221693,0.779148129828374
10,baja,aramco_petrobras,0.793581050446667,0.00410918735387235,202868,marca,0.785527043233078,0.801635057660257
11,baja,aramco_petrobras,0.800356638368356,0.00376493030800419,202868,marca,0.792977374964668,0.807735901772044
12,baja,aramco_petrobras,0.787827277815776,0.00394100201854387,202868,marca,0.78010291385943,0.795551641772122
0,baja,copec,0.788912261293372,0.00477321831175287,440062,marca,0.779556753402336,0.798267769184408
1,baja,copec,0.813990266800953,0.00299042519563789,440062,marca,0.808129033417503,0.819851500184403
2,baja,copec,0.81590923520471,0.00268768805347969,440062,marca,0.81064136661989,0.82117710378953
3,baja,copec,0.813040000119544,0.00250723759327035,440062,marca,0.808125814436734,0.817954185802354
4,baja,copec,0.823702366222232,0.00241067212967314,440062,marca,0.818977448848072,0.828427283596391
5,baja,copec,0.826599097992187,0.00236976649934663,440062,marca,0.821954355653468,0.831243840330907
6,baja,copec,0.803449258428483,0.00347777434322331,440062,marca,0.796632820715766,0.810265696141201
7,baja,copec,0.827945339304322,0.0024644404922488,440062,marca,0.823115035939514,0.83277564266913
8,baja,copec,0.837403350998747,0.00212546495812097,440062,marca,0.83323743968083,0.841569262316664
9,baja,copec,0.814094441944602,0.00287644431589347,440062,marca,0.808456611085451,0.819732272803753
10,baja,copec,0.829790092056887,0.00254299912384878,440062,marca,0.824805813774143,0.83477437033963
11,baja,copec,0.837592941895619,0.00211910828677116,440062,marca,0.833439489653547,0.84174639413769
