tipo,grupo,outcome,event_time,estimate,se,ci_low,ci_high
precio,nunca,pdi,1,-0.362861564873778,0.0966756225134406,-0.552345785000122,-0.173377344747435
precio,nunca,pdi,2,-0.398637266233037,0.104605057918637,-0.603663179753565,-0.193611352712509
precio,nunca,pdi,3,-0.574455225255904,0.118163109901441,-0.806054920662729,-0.342855529849079
precio,nunca,pdi,4,-0.581961194790412,0.143531464157485,-0.863282864539082,-0.300639525041741
margen,anillo,m93,-4,-0.940493922039405,1.06342915770156,-3.02481507113446,1.14382722705565
margen,anillo,m93,-3,0.189591050147653,0.721968474568895,-1.22546716000738,1.60464926030269
margen,anillo,m93,-2,0.53771292756684,0.594295711456468,-0.627106666887837,1.70253252202152
margen,anillo,m93,-1,0,0,0,0
margen,anillo,m93,0,-2.06864494803103,0.610177494289081,-3.26459283683762,-0.872697059224429
margen,anillo,m93,1,-2.71966515209978,0.731246115766808,-4.15290753900273,-1.28642276519684
margen,anillo,m93,2,-2.9328378678939,0.821783274608713,-4.54353308612698,-1.32214264966082
margen,anillo,m93,3,-3.26237990974205,0.947655704108295,-5.11978508979431,-1.4049747296898
margen,anillo,m93,4,-4.17814677955867,1.22280120551598,-6.57483714236998,-1.78145641674736
margen,anillo,m97,-4,-0.444343564623022,1.35469675840641,-3.09954921109959,2.21086208185354
margen,anillo,m97,-3,1.17368270736282,0.833026612116281,-0.459049452385095,2.80641486711073
margen,anillo,m97,-2,0.983818951542003,0.720861051186697,-0.429068708783923,2.39670661186793
margen,anillo,m97,-1,0,0,0,0
margen,anillo,m97,0,-2.09541279566535,0.553635652534459,-3.18053867463289,-1.01028691669781
margen,anillo,m97,1,-2.61321832283619,0.914514482154704,-4.40566670785941,-0.820769937812975
margen,anillo,m97,2,-1.4065990656083,1.04178188977469,-3.44849156956669,0.635293438350087
margen,anillo,m97,3,-1.511306117048,1.12943105499415,-3.72499098483653,0.702378750740528
margen,anillo,m97,4,-2.34624952465712,1.41033927861545,-5.11051451074339,0.418015461429154
margen,anillo,mdi,-4,-0.664348304667301,0.882240256970623,-2.39353920832972,1.06484259899512
margen,anillo,mdi,-3,0.503314164923582,0.664384830045211,-0.798880101965032,1.8055084318122
margen,anillo,mdi,-2,0.604890697419532,0.416453127410139,-0.211357432304341,1.4211388271434
margen,anillo,mdi,-1,0,0,0,0
margen,anillo,mdi,0,-2.71510457318326,0.634664016097569,-3.95904604473449,-1.47116310163202
margen,anillo,mdi,1,-2.91328774695695,0.654027687541595,-4.19518201453847,-1.63139347937542
margen,anillo,mdi,2,-3.13035438224616,0.684604707832798,-4.47217960959845,-1.78852915489388
margen,anillo,mdi,3,-4.35854911983692,0.785294800883212,-5.89772692956802,-2.81937131010583
margen,anillo,mdi,4,-4.64726582788118,1.04751058613871,-6.70038657671306,-2.5941450790493
margen,lejano,m93,-4,-0.561955314324601,1.03606626718374,-2.59264519800474,1.46873456935554
margen,lejano,m93,-3,0.298943290981769,0.728849339174421,-1.1296014138001,1.72748799576363
margen,lejano,m93,-2,0.488770266164391,0.590040346712613,-0.667708813392331,1.64524934572111
margen,lejano,m93,-1,0,0,0,0
margen,lejano,m93,0,-2.10920714890338,0.654519210039741,-3.39206480058127,-0.826349497225491
margen,lejano,m93,1,-2.87269195352393,0.765955655673679,-4.37396503864434,-1.37141886840352
margen,lejano,m93,2,-3.16736958484139,0.877280781571727,-4.88683991672198,-1.4478992529608
margen,lejano,m93,3,-3.36583138474899,1.03236696048158,-5.38927062729288,-1.3423921422051
margen,lejano,m93,4,-4.80908380345647,1.22175162611987,-7.20371699065141,-2.41445061626152
margen,lejano,m97,-4,-0.186177477586023,1.1710456705386,-2.48142699184168,2.10907203666963
margen,lejano,m97,-3,1.53242190544132,0.833177338519399,-0.100605678056705,3.16544948893934
margen,lejano,m97,-2,1.23536132441401,0.723687206953506,-0.183065601214857,2.65378825004289
margen,lejano,m97,-1,0,0,0,0
margen,lejano,m97,0,-2.32444293628402,0.587872444673297,-3.47667292784368,-1.17221294472436
