horizon,group,beta_up,se_up,beta_down,se_down,asym,se_asym,t_asym,n,dimension,asym_low,asym_high
6,aramco_petrobras,0.784112153857293,0.00813806824899994,0.809793147166979,0.00525399978558612,-0.0256809933096863,0.0115520336256145,-2.22307120477415,567633,marca,-0.0483229792158907,-0.00303900740348192
7,aramco_petrobras,0.793911337967202,0.00755458615440184,0.810078057546341,0.0049963697583383,-0.0161667195791388,0.0106781892916979,-1.51399447392342,567633,marca,-0.0370959705908667,0.00476253143258903
8,aramco_petrobras,0.7984586192235,0.00744480218576064,0.812872883505245,0.00491531530806989,-0.0144142642817453,0.0105253877139392,-1.36947584958376,567633,marca,-0.0350440242010661,0.00621549563757545
9,aramco_petrobras,0.803069048007281,0.00722433578352474,0.817411458269739,0.00478639416688733,-0.0143424102624581,0.0101762684263527,-1.40939779313571,567633,marca,-0.0342878963781093,0.00560307585319317
10,aramco_petrobras,0.806450584554424,0.00680815566707137,0.818621869826926,0.00462657856262553,-0.0121712852725021,0.00957042046469106,-1.27176076718955,567633,marca,-0.0309293093832966,0.00658673883829237
11,aramco_petrobras,0.808862631862685,0.00641678475392576,0.818631596626682,0.00448113087305123,-0.00976896476399613,0.00898122132467544,-1.08771005755714,567633,marca,-0.02737215856036,0.00783422903236773
12,aramco_petrobras,0.818036607387812,0.00605972564155768,0.823869825725584,0.00440780708068407,-0.00583321833777206,0.00848738978558216,-0.687280599234545,567633,marca,-0.0224685023175131,0.010802065641969
0,copec,0.674510092337333,0.0124746293197853,0.827280142366706,0.00403099965593556,-0.152770050029373,0.0147525225747911,-10.3555205053829,1281194,marca,-0.181684994275964,-0.123855105782783
1,copec,0.761743417200275,0.00865740629841693,0.852111584661823,0.00380206264934178,-0.0903681674615483,0.0116318407856565,-7.76903407868023,1281194,marca,-0.113166575401435,-0.0675697595216615
2,copec,0.797082189005934,0.00712260849096095,0.856471777762679,0.00381795411231997,-0.0593895887567452,0.0101965718407442,-5.82446627006853,1281194,marca,-0.0793748695646038,-0.0394043079488865
3,copec,0.797701569605223,0.00694133501798206,0.85742974415836,0.00362674089636267,-0.0597281745531372,0.00979104311002154,-6.1002871585769,1281194,marca,-0.0789186190487794,-0.040537730057495
4,copec,0.81386863688507,0.00612497787624739,0.855900435027364,0.00346884801804868,-0.0420317981422943,0.00881830033244946,-4.76642851317121,1281194,marca,-0.0593156667938952,-0.0247479294906934
5,copec,0.827206099523605,0.00527164932019647,0.85333042332963,0.00329442327071777,-0.0261243238060249,0.00776839563984131,-3.36289821183188,1281194,marca,-0.0413503792601139,-0.0108982683519359
6,copec,0.827940636315054,0.00521015641887077,0.854344710400296,0.00322497716525526,-0.0264040740852425,0.0076335643482129,-3.45894432545446,1281194,marca,-0.0413658602077398,-0.0114422879627452
7,copec,0.833835212992805,0.00483519458217054,0.853269133070815,0.00307899584202075,-0.0194339200780098,0.00708723661287958,-2.74210120806362,1281194,marca,-0.0333249038392538,-0.00554293631676584
8,copec,0.837395406676458,0.0045142457950951,0.852606344664716,0.00296423249142827,-0.0152109379882582,0.0066288471235416,-2.29465813659186,1281194,marca,-0.0282034783503998,-0.00221839762611671
9,copec,0.837934414508814,0.00440713177700183,0.855791958063979,0.00293608753188772,-0.0178575435551653,0.00650224774196411,-2.74636468246459,1281194,marca,-0.030601949129415,-0.00511313798091569
10,copec,0.839781152735058,0.00424330258484531,0.855939351756623,0.00286918885176785,-0.0161581990215642,0.0062590027008394,-2.5815932335989,1281194,marca,-0.0284258443152095,-0.00389055372791901
11,copec,0.841453833692146,0.00392651004701823,0.855084298422938,0.00276278006488802,-0.0136304647307923,0.00579645788128447,-2.35151622075996,1281194,marca,-0.0249915221781099,-0.00226940728347476
12,copec,0.844630544822818,0.00369970490709895,0.858388751119427,0.00278842993552694,-0.0137582062966086,0.00560268120855081,-2.45564682059919,1281194,marca,-0.0247394614653682,-0.00277695112784903
0,independiente,0.688479528563637,0.0210433738939568,0.720108743675429,0.0118547257633062,-0.0316292151117918,0.0272927441339586,-1.15888732025438,390969,marca,-0.0851229936143507,0.0218645633907671
1,independiente,0.750855459571874,0.0169919078767927,0.770419608831192,0.0112770299494745,-0.0195641492593183,0.0244171701981562,-0.801245562059258,390969,marca,-0.0674218028477045,0.028293504329068
2,independiente,0.782885637899812,0.0150900317879609,0.791944068248252,0.0113822264176122,-0.00905843034844056,0.0231334338577555,-0.391573097368063,390969,marca,-0.0543999607096414,0.0362831000127603
3,independiente,0.793610662270786,0.013619252779235,0.79331347533201,0.010799897948114,0.000297186938777005,0.0209267137310769,0.0142013190697818,390969,marca,-0.0407191719741336,0.0413135458516876
