horizon,group,estimate,se,dimension,ci_low,ci_high
11,baja,1.10592434183976,0.0170109265880685,competidores_2km,1.07258292572715,1.13926575795237
12,baja,0.992069275768805,0.0143431905619514,competidores_2km,0.96395662226738,1.02018192927023
0,media,0.54902756938807,0.0104419426291143,competidores_2km,0.528561361835006,0.569493776941134
1,media,0.642366568276888,0.0119782303647656,competidores_2km,0.618889236761947,0.665843899791828
2,media,0.699477968779175,0.0128865461742191,competidores_2km,0.674220338277706,0.724735599280645
3,media,0.781743242688113,0.0148102343765089,competidores_2km,0.752715183310156,0.810771302066071
4,media,0.837357984301285,0.0157208852781792,competidores_2km,0.806545049156054,0.868170919446516
5,media,0.87290601026837,0.0162488227174377,competidores_2km,0.841058317742193,0.904753702794548
6,media,0.90728126470352,0.0168373761289843,competidores_2km,0.874280007490711,0.94028252191633
7,media,0.934343093810684,0.0174317433446957,competidores_2km,0.900176876855081,0.968509310766288
8,media,0.958864177956844,0.0179423907591845,competidores_2km,0.923697092068843,0.994031263844846
9,media,0.943778138546096,0.0173508747536938,competidores_2km,0.909770424028856,0.977785853063336
10,media,0.940391064369246,0.0174444290860416,competidores_2km,0.906199983360604,0.974582145377888
11,media,0.941120180610843,0.0179095619108136,competidores_2km,0.906017439265649,0.976222921956038
12,media,0.864185518394817,0.015854857205804,competidores_2km,0.833109998271441,0.895261038518193
0,alta,0.518525448047202,0.012404097414977,competidores_2km,0.494213417113847,0.542837478980557
1,alta,0.612275769288897,0.014506970504363,competidores_2km,0.583842107100345,0.640709431477448
2,alta,0.680501222113029,0.0154139177847126,competidores_2km,0.650289943254992,0.710712500971066
3,alta,0.763414479728832,0.0177765223513789,competidores_2km,0.728572495920129,0.798256463537534
4,alta,0.822653450090433,0.0189668768446495,competidores_2km,0.78547837147492,0.859828528705947
5,alta,0.861168577466106,0.0196689537811269,competidores_2km,0.822617428055097,0.899719726877114
6,alta,0.903609101061023,0.0201478164463769,competidores_2km,0.864119380826124,0.943098821295921
7,alta,0.934227777741665,0.020791432603193,competidores_2km,0.893476569839407,0.974978985643924
8,alta,0.961906210754843,0.0214063940788058,competidores_2km,0.919949678360383,1.0038627431493
9,alta,0.952250422543841,0.0207786021361934,competidores_2km,0.911524362356902,0.99297648273078
10,alta,0.955220874193516,0.0207931350253502,competidores_2km,0.914466329543829,0.995975418843202
11,alta,0.960159045007329,0.021225605395747,competidores_2km,0.918556858431665,1.00176123158299
12,alta,0.896350361279436,0.0189160743141689,competidores_2km,0.859274855623665,0.933425866935206
0,carretera,0.536319828350905,0.0173605357497766,carretera,0.502293178281343,0.570346478420467
1,carretera,0.641344798474645,0.0199596791182451,carretera,0.602223827402885,0.680465769546405
2,carretera,0.699278085416291,0.0204604518477185,carretera,0.659175599794762,0.739380571037819
3,carretera,0.783868905981584,0.0233341776492933,carretera,0.738133917788969,0.829603894174199
4,carretera,0.838634586877879,0.0248537330974647,carretera,0.789921270006848,0.88734790374891
5,carretera,0.877472154461234,0.0256935638867486,carretera,0.827112769243207,0.927831539679261
6,carretera,0.91466260139246,0.0257146711205695,carretera,0.864261845996144,0.965063356788777
7,carretera,0.943120928311915,0.026534787711234,carretera,0.891112744397896,0.995129112225934
8,carretera,0.969984874536005,0.0271288600270819,carretera,0.916812308882924,1.02315744018909
9,carretera,0.95452172591896,0.0261018284805015,carretera,0.903362142097177,1.00568130974074
10,carretera,0.952379797252657,0.0259795087775367,carretera,0.901459960048685,1.00329963445663
11,carretera,0.952183955077565,0.0263042339157828,carretera,0.900627656602631,1.0037402535525
12,carretera,0.875721814651495,0.0220964791324658,carretera,0.832412715551861,0.919030913751128
0,no_carretera,0.567272525203905,0.00729642060614002,carretera,0.55297154081587,0.581573509591939
1,no_carretera,0.662433617176246,0.00828891450818309,carretera,0.646187344740207,0.678679889612285
2,no_carretera,0.722648479193927,0.00876067582079804,carretera,0.705477554585163,0.739819403802691
3,no_carretera,0.809968569259553,0.0100382060785745,carretera,0.790293685345547,0.829643453173559
4,no_carretera,0.867018765626,0.0105691269004404,carretera,0.846303276901137,0.887734254350863
5,no_carretera,0.903355351165617,0.0108780908913801,carretera,0.882034293018512,0.924676409312722
6,no_carretera,0.94005267867371,0.0111861960175054,carretera,0.9181277344794,0.961977622868021
7,no_carretera,0.968111321816299,0.0115173245859105,carretera,0.945537365627914,0.990685278004683
8,no_carretera,0.994124661552296,0.0118362936868547,carretera,0.970925525926061,1.01732379717853
9,no_carretera,0.976910934772619,0.0113096530144796,carretera,0.954744014864239,0.999077854680999
10,no_carretera,0.977149185205026,0.0113447003886831,carretera,0.954913572443207,0.999384797966845
11,no_carretera,0.980855980605027,0.0116146064777072,carretera,0.958091351908721,1.00362060930133
12,no_carretera,0.894724622580669,0.00993867116778591,carretera,0.875244827091809,0.91420441806953
0,centro,0.565091783224819,0.00828970617198318,macrozona,0.548843959127732,0.581339607321906
1,centro,0.667328517890325,0.00954425532991224,macrozona,0.648621777443697,0.686035258336953
2,centro,0.734322744162172,0.010109696710408,macrozona,0.714507738609772,0.754137749714572
3,centro,0.826406859800192,0.0116315671533563,macrozona,0.803608988179613,0.84920473142077
4,centro,0.887521354241008,0.0123219456901931,macrozona,0.863370340688229,0.911672367793786
5,centro,0.926588873583549,0.0127504828065319,macrozona,0.901597927282747,0.951579819884352
6,centro,0.966551022312961,0.0131043320991998,macrozona,0.940866531398529,0.992235513227393
7,centro,0.996797132587318,0.0135302321713801,macrozona,0.970277877531413,1.02331638764322
8,centro,1.02434431490934,0.0139101975938129,macrozona,0.997080327625471,1.05160830219322
9,centro,1.01111022392829,0.0133754219626454,macrozona,0.984894396881504,1.03732605097507
10,centro,1.01211438267692,0.0134233886277632,macrozona,0.985804540966502,1.03842422438733
11,centro,1.01581710096305,0.0137412780488522,macrozona,0.988884195987297,1.0427500059388
12,centro,0.931723725043135,0.0119624708060114,macrozona,0.908277282263352,0.955170167822917
0,norte,0.577376076461717,0.0169875496126623,macrozona,0.544080479220899,0.610671673702535
1,norte,0.675424585879212,0.0193706947375687,macrozona,0.637458024193578,0.713391147564847
2,norte,0.737148294947553,0.0208137350534636,macrozona,0.696353374242764,0.777943215652342
3,norte,0.819272601548006,0.0239191549842918,macrozona,0.772391057778794,0.866154145317217
4,norte,0.871864552996277,0.0250618251865778,macrozona,0.822743375630585,0.920985730361969
5,norte,0.915191151739994,0.0256913145967817,macrozona,0.864836175130302,0.965546128349686
6,norte,0.954916332103983,0.0266849049749873,macrozona,0.902613918353008,1.00721874585496
7,norte,0.984827986108794,0.0274926865912159,macrozona,0.930942320390011,1.03871365182758
8,norte,1.01105180401502,0.028514558523445,macrozona,0.955163269309068,1.06694033872097
9,norte,0.984744543252384,0.0271211194289125,macrozona,0.931587149171715,1.03790193733305
10,norte,0.990195683319682,0.0276043564263063,macrozona,0.936091144724122,1.04430022191524
11,norte,0.996412576650915,0.0283766096576001,macrozona,0.940794421722019,1.05203073157981
12,norte,0.905441510250792,0.0234459839997016,macrozona,0.859487381611377,0.951395638890207
0,sur,0.556875236348573,0.01401462687167,macrozona,0.529406567680099,0.584343905017046
1,sur,0.661291605870894,0.0160150260165372,macrozona,0.629902154878481,0.692681056863307
2,sur,0.717428694957342,0.0171059489949547,macrozona,0.683901034927231,0.750956354987453
3,sur,0.806588439210941,0.0194201201903085,macrozona,0.768525003637937,0.844651874783946
4,sur,0.865098743150454,0.0205257702835723,macrozona,0.824868233394653,0.905329252906256
5,sur,0.89922116302416,0.0211237864851142,macrozona,0.857818541513336,0.940623784534983
6,sur,0.933225683599111,0.0216549260879237,macrozona,0.890782028466781,0.975669338731441
7,sur,0.96201836252626,0.0223825135894152,macrozona,0.918148635891007,1.00588808916151
8,sur,0.990891894209072,0.0229974904979102,macrozona,0.945816812833168,1.03596697558498
9,sur,0.973174054324942,0.0221781419924858,macrozona,0.92970489601967,1.01664321263021
10,sur,0.970327893208152,0.0222204944128992,macrozona,0.926775724158869,1.01388006225743
11,sur,0.974812438418011,0.0227796918674756,macrozona,0.930164242357759,1.01946063447826
12,sur,0.893845875017698,0.0197710860045638,macrozona,0.855094546448753,0.932597203586644
